,wage_month,region,head,sex,age,married,schooling,position,economictype,ky hop dong lao dong?,huong luong ngay nghi,huong BHXH,co lam viec khac,urban,Kinh,household_size,poor,houses,pay_rent,other_land/house,wealthindex,t_quantity durables,t_value durables
109,28000,region1,1,male,56,1,16,position2,economictype2,1,1,1,2,1,1,2,0,1,0,1,180,47,1060800
110,6000,region1,0,male,34,1,16,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,47,634900
111,15000,region1,0,female,32,1,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,47,634900
112,14000,region1,0,male,32,1,19,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,45,110500
113,12000,region1,0,female,28,1,19,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,45,110500
114,6500,region1,0,male,29,1,14,position3,economictype1,1,1,1,2,1,1,6,0,1,0,0,170,29,75000
115,5500,region1,0,female,29,1,12,position3,economictype1,1,1,1,2,1,1,6,0,1,0,0,170,29,75000
116,3300,region1,1,female,54,1,12,position3,economictype4,1,1,2,2,1,1,6,0,1,0,1,170,35,96400
117,11000,region1,0,male,26,1,16,position2,economictype3,1,1,1,2,1,1,6,0,1,0,1,170,35,96400
118,6000,region1,0,female,26,1,16,position2,economictype1,1,1,1,2,1,1,6,0,1,0,1,170,35,96400
119,7000,region1,0,male,25,1,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,170,27,68800
120,7000,region1,0,female,25,1,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,170,27,68800
121,2800,region1,1,male,55,1,16,position3,economictype2,1,1,1,2,1,1,2,0,1,0,0,170,22,27600
122,1500,region1,0,female,20,0,12,position2,economictype3,1,2,2,2,1,1,2,0,1,0,1,180,24,48400
123,5000,region1,0,male,34,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,40,79200
124,5000,region1,0,female,29,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,40,79200
125,20000,region1,1,male,39,1,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,36,543300
126,10000,region1,0,female,35,1,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,36,543300
127,8000,region1,0,male,43,1,9,position4,economictype1,1,1,1,2,1,1,2,0,1,0,0,180,17,35400
128,15000,region1,1,female,55,1,16,position2,economictype2,1,1,1,2,1,1,3,0,2,0,1,180,51,831000
129,15000,region1,0,male,56,1,22,position1,economictype2,1,1,1,2,1,1,3,0,2,0,1,180,51,831000
130,4300,region1,0,female,51,1,13,position3,economictype1,1,1,1,2,1,1,4,0,1,0,1,180,22,44200
131,16000,region1,1,male,42,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,34,166500
132,20000,region1,0,female,42,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,34,166500
133,8000,region1,0,male,33,1,14,position3,economictype3,1,1,2,2,1,1,7,0,1,0,1,180,45,89800
134,4000,region1,0,female,27,1,14,position2,economictype2,1,1,1,2,1,1,7,0,1,0,1,180,45,89800
135,8500,region1,0,female,32,1,16,position2,economictype1,1,1,1,2,1,1,7,0,1,0,1,180,45,89800
136,6000,region1,1,male,60,1,13,position4,economictype2,1,1,2,2,1,1,4,0,1,0,0,180,45,137600
137,4500,region1,0,female,50,1,16,position2,economictype1,1,1,2,2,1,1,4,0,1,0,0,180,45,137600
138,7000,region1,0,male,25,0,16,position2,economictype1,1,1,2,2,1,1,4,0,1,0,0,180,45,137600
139,4000,region1,0,female,22,0,12,position2,economictype1,1,2,2,2,1,1,4,0,1,0,0,180,45,137600
140,10000,region1,0,male,37,1,16,position2,economictype1,1,1,2,2,1,1,6,0,1,0,0,180,35,70200
141,8000,region1,0,female,31,1,16,position2,economictype3,1,1,2,2,1,1,6,0,1,0,0,180,35,70200
142,3000,region1,1,male,39,1,12,position3,economictype3,1,1,1,2,1,1,4,0,1,0,0,180,15,55000
143,12000,region1,0,male,26,1,16,position2,economictype1,1,1,2,2,1,1,4,0,1,0,0,190,24,48550
144,5000,region1,0,female,26,1,16,position2,economictype1,1,1,1,2,1,1,4,0,1,0,0,190,24,48550
145,2000,region1,0,male,54,1,12,position3,economictype2,2,2,2,2,1,1,3,0,1,0,0,150,12,6050
146,12000,region1,0,female,23,0,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,150,14,23850
147,5000,region1,0,male,29,1,16,position3,economictype1,1,1,1,2,1,1,7,0,1,0,0,180,24,82200
148,10000,region1,0,female,26,1,16,position2,economictype2,1,1,1,2,1,1,7,0,1,0,0,180,24,82200
149,18000,region1,1,male,44,1,19,position2,economictype1,1,1,1,2,1,1,4,0,1,0,0,170,26,86319
150,8000,region1,0,female,37,1,16,position2,economictype3,1,1,1,2,1,1,4,0,1,0,0,170,26,86319
151,9000,region1,1,male,41,1,16,position4,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,21,99903
152,7000,region1,0,female,36,1,16,position4,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,21,99903
153,6000,region1,0,male,32,1,16,position4,economictype2,1,1,1,2,1,1,3,0,1,0,0,180,23,111068
154,5000,region1,0,female,24,1,16,position3,economictype1,1,1,1,2,1,1,3,0,1,0,0,180,23,111068
155,5000,region1,1,male,52,1,16,position2,economictype4,1,2,2,2,1,1,4,0,1,0,0,190,20,40500
156,7500,region1,0,male,24,0,16,position3,economictype3,1,1,1,2,1,1,4,0,1,0,0,190,20,40500
157,8000,region1,0,male,50,1,12,position2,economictype2,1,1,1,2,1,1,3,0,1,0,1,180,5,5460
158,6000,region1,0,male,31,1,16,position2,economictype1,1,1,2,2,1,1,5,0,1,0,0,190,30,84100
159,3000,region1,0,female,30,1,16,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,190,30,84100
160,2500,region1,0,female,26,1,15,position6,economictype2,1,1,2,2,1,1,6,0,1,0,0,180,30,70300
161,3500,region1,0,male,27,1,15,position6,economictype3,1,1,1,2,1,1,6,0,1,0,0,180,30,70300
162,14500,region1,1,male,28,1,17,position4,economictype1,1,1,2,2,1,1,3,0,1,1,0,150,12,34250
163,4800,region1,0,female,28,1,16,position3,economictype1,1,1,1,2,1,1,3,0,1,1,0,150,12,34250
164,5800,region1,1,male,44,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,150,29,71900
165,5700,region1,0,female,38,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,150,29,71900
166,20000,region1,0,male,34,1,16,position1,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,23,130800
167,3500,region1,0,female,35,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,23,130800
168,11000,region1,0,male,29,1,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,43,179400
169,5000,region1,1,female,50,1,16,position2,economictype2,1,1,1,2,1,1,2,0,1,0,0,180,19,120450
170,3500,region1,0,female,48,1,14,position4,economictype1,2,2,2,1,1,1,4,0,1,0,0,170,25,23750
171,11200,region1,1,male,37,1,16,position2,economictype2,1,1,1,2,1,1,3,0,1,0,0,180,27,124200
172,8700,region1,0,female,38,1,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,180,27,124200
173,3800,region1,0,male,27,1,16,position2,economictype1,1,1,1,2,1,1,4,0,2,0,0,180,24,55410
174,4300,region1,0,female,26,1,16,position2,economictype2,1,1,1,2,1,1,4,0,2,0,0,180,24,55410
175,6310,region1,0,male,38,1,16,position2,economictype2,1,1,1,2,1,1,7,0,1,0,1,155,43,108100
176,5500,region1,0,female,38,1,16,position2,economictype2,1,1,1,2,1,1,7,0,1,0,1,155,43,108100
177,6000,region1,0,female,28,1,16,position2,economictype2,1,1,1,1,1,1,6,0,1,0,0,155,33,75500
178,10000,region1,0,male,55,1,16,position2,economictype2,1,1,1,2,1,1,3,0,1,0,0,180,35,40980
179,3000,region1,0,male,29,0,16,position2,economictype2,1,1,1,2,1,1,3,0,1,0,0,180,35,40980
180,12000,region1,1,male,40,1,19,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,29,60200
181,6000,region1,0,female,36,1,19,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,29,60200
182,16000,region1,1,male,37,1,16,position1,economictype2,1,1,1,2,1,1,5,0,1,0,0,175,32,109200
183,7500,region1,1,female,52,0,19,position2,economictype2,1,1,1,2,1,1,2,0,1,0,0,190,23,121530
184,11000,region1,1,male,42,1,16,position1,economictype1,1,1,1,2,1,1,4,0,1,0,0,190,32,644800
185,8500,region1,0,female,40,1,16,position2,economictype1,1,1,1,2,1,1,4,0,1,0,0,190,32,644800
186,9600,region1,1,male,48,1,22,position5,economictype2,1,1,1,2,1,1,4,0,1,0,1,180,24,70300
187,10000,region1,0,male,45,1,22,position1,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,24,605200
188,7000,region1,0,female,38,1,19,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,24,605200
189,5000,region1,1,male,31,1,14,position4,economictype1,1,1,1,2,1,1,4,0,1,0,0,180,20,36300
190,3200,region1,0,female,25,1,16,position2,economictype4,2,2,2,2,1,1,4,0,1,0,0,180,20,36300
191,4500,region1,0,male,56,1,9,position3,economictype1,1,2,2,2,1,1,2,0,1,0,0,180,29,86900
192,7000,region1,1,female,54,1,16,position2,economictype3,1,1,1,2,1,1,6,0,1,0,0,180,48,749700
193,6000,region1,0,male,28,1,16,position3,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,48,749700
194,7000,region1,0,female,27,1,16,position1,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,48,749700
195,7000,region1,0,male,23,0,16,position1,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,48,749700
196,6100,region1,0,male,32,1,16,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,46,168185
197,10000,region1,0,female,29,1,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,46,168185
198,10000,region1,0,male,34,1,16,position1,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,45,700350
199,9000,region1,0,female,33,1,16,position2,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,45,700350
200,7000,region1,1,male,60,1,16,position2,economictype2,1,1,1,2,1,1,7,0,1,0,0,180,33,71250
201,5000,region1,0,male,33,1,19,position2,economictype2,1,1,1,2,1,1,7,0,1,0,0,180,33,71250
202,4500,region1,0,female,34,1,16,position2,economictype2,1,1,1,2,1,1,7,0,1,0,0,180,33,71250
203,15000,region1,0,male,30,0,19,position2,economictype2,1,1,1,2,1,1,2,0,1,0,0,180,27,95200
204,10000,region1,0,male,31,1,19,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,26,59500
205,7000,region1,0,female,32,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,26,59500
206,15000,region1,0,male,30,1,16,position2,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,32,139700
207,7000,region1,0,female,31,1,19,position2,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,32,139700
208,5200,region1,0,male,30,1,14,position6,economictype1,1,1,1,2,0,1,6,0,2,0,0,150,31,81800
209,5000,region1,0,male,28,0,11,position4,economictype1,1,1,1,2,0,1,6,0,2,0,0,150,31,81800
210,9000,region1,1,male,43,1,16,position2,economictype1,1,1,1,2,0,1,4,0,1,0,0,150,23,51610
211,5000,region1,0,female,38,1,14,position4,economictype1,1,1,1,2,0,1,4,0,1,0,0,150,23,51610
212,2500,region1,0,female,28,0,7,position4,economictype1,2,2,2,1,0,1,5,1,2,0,0,110,16,11100
213,4200,region1,0,female,22,0,10,position4,economictype3,1,1,1,2,0,1,3,0,1,0,0,160,35,54050
214,3240,region1,1,male,47,1,5,position4,economictype4,2,2,2,1,0,1,6,0,1,0,0,145,21,42700
215,3600,region1,0,male,21,0,12,position4,economictype4,2,2,2,1,0,1,6,0,1,0,0,145,21,42700
216,3500,region1,0,male,23,1,12,position4,economictype3,1,2,1,2,0,1,6,0,1,0,0,145,21,42700
217,4000,region1,1,male,50,1,9,position4,economictype4,2,2,2,1,0,1,6,0,1,0,0,140,27,26200
218,4000,region1,0,male,27,1,7,position4,economictype4,2,2,2,1,0,1,6,0,1,0,0,140,27,26200
219,4000,region1,0,female,23,1,7,position6,economictype3,1,1,1,1,0,1,6,0,1,0,0,140,27,26200
220,3500,region1,0,female,35,0,7,position4,economictype4,2,2,2,1,0,1,2,0,1,0,0,130,6,2100
221,3000,region1,1,male,38,1,10,position4,economictype4,2,2,2,1,0,1,4,0,1,0,0,150,27,41350
222,4200,region1,0,female,34,1,10,position4,economictype3,2,2,2,1,0,1,4,0,1,0,0,150,27,41350
223,3500,region1,0,male,28,1,2,position6,economictype1,1,2,2,2,0,1,6,0,1,0,0,110,27,29800
224,3800,region1,0,female,24,1,10,position4,economictype3,1,1,1,1,0,1,6,0,1,0,0,110,27,29800
225,6000,region1,1,male,48,1,12,position4,economictype4,2,2,2,1,0,1,4,0,1,0,0,140,18,16400
226,5000,region1,0,female,19,0,12,position4,economictype3,1,1,1,2,0,1,4,0,1,0,0,140,18,16400
227,4200,region1,0,female,20,1,13,position4,economictype3,1,1,1,1,0,1,4,0,1,0,0,160,18,20500
228,3400,region1,0,male,22,0,12,position6,economictype1,2,2,2,2,0,1,5,0,1,0,0,145,18,33740
229,2200,region1,0,female,17,0,12,position6,economictype3,1,1,2,2,0,1,5,0,1,0,0,145,18,33740
230,4500,region1,0,male,23,0,15,position4,economictype3,1,1,1,2,0,1,3,0,1,0,0,180,22,36380
231,5500,region1,1,male,49,1,13,position2,economictype2,1,1,1,2,0,1,4,0,1,0,0,150,32,149800
232,4300,region1,0,female,40,1,16,position3,economictype1,1,1,1,2,0,1,4,0,1,0,0,150,32,149800
233,1850,region1,1,male,41,1,14,position4,economictype2,1,1,1,1,1,1,4,0,1,0,0,170,16,16080
234,1650,region1,0,female,39,1,14,position4,economictype2,1,1,1,1,1,1,4,0,1,0,0,170,16,16080
235,3400,region1,1,female,40,0,9,position4,economictype2,1,1,1,2,1,1,4,0,1,0,0,150,14,4110
236,2600,region1,0,male,17,0,11,position3,economictype4,2,2,2,2,1,1,4,0,1,0,0,150,14,4110
237,3600,region1,0,female,26,0,9,position4,economictype3,1,1,1,2,0,1,3,0,1,0,0,140,17,25900
238,2000,region1,0,female,45,1,9,position4,economictype4,2,2,2,1,0,1,3,0,1,0,0,120,15,9950
239,4000,region1,0,female,23,0,14,position2,economictype2,1,1,1,2,0,1,6,0,1,0,0,150,22,62700
240,5500,region1,0,female,27,1,9,position4,economictype3,1,1,1,2,0,1,6,0,1,0,0,150,22,62700
241,3300,region1,1,male,35,1,6,position6,economictype1,1,1,1,2,0,1,4,0,1,0,0,130,19,32250
242,6000,region1,0,male,52,1,14,position4,economictype2,1,1,1,1,0,1,3,0,1,0,1,140,20,86600
243,3000,region1,0,male,22,0,15,position4,economictype2,1,1,1,2,0,1,3,0,1,0,1,140,20,86600
244,5400,region1,1,male,52,1,9,position4,economictype4,2,2,2,2,0,1,2,0,1,0,0,130,22,58550
245,4000,region1,1,female,26,1,14,position2,economictype1,1,1,2,2,0,1,4,0,1,0,0,150,20,660600
246,12000,region1,0,male,31,1,16,position2,economictype1,1,1,2,2,0,1,4,0,1,0,0,150,20,660600
247,6000,region1,0,male,22,0,16,position2,economictype1,2,2,2,2,0,1,3,0,1,0,1,160,49,142230
248,3500,region1,1,female,21,0,12,position4,economictype3,1,1,1,2,0,1,2,0,1,1,0,150,7,32750
249,2800,region1,0,female,22,0,12,position4,economictype3,1,1,1,2,0,1,2,0,1,1,0,150,7,32750
